,max_annual_earnings,max_monthly_earnings,min_annual_earnings,min_monthly_earnings,name
0,118700000,9900000,7400000,618500,T-Series
1,65600000,5500000,4100000,341400,SET India
2,3400000,2800000,2100000,17700,5-Minute Crafts
3,42100000,3500000,2600000,219400,Zee TV
4,19900000,1700000,1200000,103600,VN Children’s Music
5,60700000,5100000,3800000,316100,Cocomelon - Nursery Rhymes
6,32700000,2700000,200000,170500,Like Nastya Vlog
7,3200000,2700000,200000,166600,Canal KondZilla
8,14800000,1200000,923300,76900,U2VEVO
9,29800000,2500000,1900000,155400,Salih Reis'in Dünyası
10,31300000,2600000,200000,163100,Movieclips
11,13700000,1100000,858500,71500,Satisfying Slime ASMR
12,12400000,100000,775900,64700,jorgeembon
13,28800000,2400000,1800000,149800,✿ Kids Diana Show
14,29500000,2500000,1800000,153500,netd müzik
15,18600000,1600000,1200000,96900,ArianaGrandeVevo
16,13800000,1200000,864300,7200,Google
17,24100000,200000,1500000,125300,Zee Music Company
18,22700000,1900000,1400000,118400,Speed Records
19,18400000,1500000,1200000,9600,Boram Tube ToysReview [보람튜브…
20,498900,41600,31200,2600,سيف SAIIF
21,22600000,1900000,1400000,117600,Toys and Colors
22,21600000,1800000,1400000,112700,Colors TV
23,18600000,1500000,1200000,96600,PewDiePie
24,21200000,1800000,1300000,110300,one31
25,20300000,1700000,1300000,105800,GR6 EXPLODE
26,11900000,995600,746700,62200,YouTube Spotlight
27,20200000,1700000,1300000,10500,El Reino Infantil
28,19300000,1600000,1200000,100700,Sony Music India
29,18600000,1500000,1200000,96800,CKN Toys
30,16800000,1400000,100000,87300,Toys And Little Gaby
31,18200000,1500000,1100000,94700,SonyMusicIndiaVEVO
32,18600000,1500000,1200000,96600,BLACKPINK
33,16300000,1400000,100000,85100,T-Series Bhakti Sagar
34,8400000,696800,522600,43500,All Of Vines
35,16400000,1400000,100000,85300,BillionSurpriseToys - Nursery Rhymes & Songs
36,14800000,1200000,926100,77200,1theK (원더케이)
