,category,created,name,subscribers,uploads,views
0,Music,2006-03-13,T-Series,75515061,12922,55808036283
1,Shows,2006-09-20,SET India,37493700,27657,25953145521
2,Howto,2016-11-15,5-Minute Crafts,43976423,2479,10988877359
3,Entertainment,2005-12-11,Zee TV,22158126,57502,15080326918
4,Entertainment,2015-07-20,VN Children’s Music,0,128,626416567
5,Education,2006-09-01,Cocomelon - Nursery Rhymes,29610071,386,15214906514
6,People,2016-12-06,Like Nastya Vlog,13170168,193,4647150257
7,Music,2012-03-21,Canal KondZilla,44025576,929,21655591854
8,Music,2009-05-12,U2VEVO,1057234,99,1158535585
9,Entertainment,2016-02-14,Salih Reis'in Dünyası,0,305,3997469761
10,Film,2006-04-28,Movieclips,20552272,31000,19164024188
11,People,2015-09-24,Satisfying Slime ASMR,2455594,867,563081306
12,Film,2006-10-13,jorgeembon,438027,502,571276800
13,Entertainment,2015-05-12,✿ Kids Diana Show,14528613,516,4368460862
14,Music,2014-01-23,netd müzik,12408559,9132,26070515484
15,Music,2010-10-21,ArianaGrandeVevo,19030308,94,10142567999
16,Tech,2005-09-18,Google,6877275,2172,2317588782
17,Music,2014-03-12,Zee Music Company,28083570,3676,13535970168
18,Music,2012-11-22,Speed Records,18405656,6195,9289855349
19,People,2016-05-18,Boram Tube ToysReview [보람튜브…,7148487,173,1930394868
20,People,2016-07-17,سيف SAIIF,1942077,99,246351715
21,Education,2016-03-17,Toys and Colors,7034165,177,3679854786
22,Entertainment,2008-06-13,Colors TV,14633446,26005,9813130152
23,Comedy,2010-04-29,PewDiePie,76855835,3688,19569311781
24,Entertainment,2013-01-10,one31,12867372,47493,8860513764
25,Music,2014-08-05,GR6 EXPLODE,19822916,2658,9033769832
26,News,1900-01-01,YouTube Spotlight,27885829,287,1674984623
27,Music,2011-06-02,El Reino Infantil,17779918,637,17871307595
28,Music,2009-09-02,Sony Music India,20770390,2332,8272851948
29,Entertainment,2015-03-28,CKN Toys,10317977,469,8839235143
30,Entertainment,2012-10-06,Toys And Little Gaby,6933761,216,1869489409
31,Music,2009-09-02,SonyMusicIndiaVEVO,16543987,3003,7443490843
32,People,2016-06-29,BLACKPINK,15866927,203,3885581182
33,Music,2011-02-13,T-Series Bhakti Sagar,14470343,19869,5642263393
34,Comedy,2015-01-24,All Of Vines,1239551,246,333162419
35,Education,2013-10-25,BillionSurpriseToys - Nursery Rhymes & Songs,19757016,239,6489123099
36,Music,2011-01-31,1theK (원더케이),14398846,14082,11603519690
