category,date,earnings,subscribers,views
Animals,2018-12-03,10640,2083417,735286614
Animals,2018-12-04,6316,1902359,669109801
Animals,2018-12-05,6020,2095582,735624820
Animals,2018-12-06,6000,2102038,725683869
Animals,2018-12-07,5818,2107472,735924726
Animals,2018-12-08,6116,1923684,673714589
Animals,2018-12-09,5500,1928049,679565975
Animals,2018-12-10,5360,2122846,731133352
Animals,2018-12-11,5780,2127169,736440628
Animals,2018-12-12,23750,1783769,616197103
Animals,2018-12-13,5617,1788181,618568807
Animals,2018-12-14,5767,1786616,618820547
Animals,2018-12-15,6150,1791044,618820547
Animals,2018-12-16,169,2585203,1030070596
Autos,2018-12-03,16276,1336700,379393438
Autos,2018-12-04,4540,1338797,385413630
Autos,2018-12-05,5592,1340880,380057848
Autos,2018-12-06,6791,1342902,387877303
Autos,2018-12-07,5346,1344849,380669315
Autos,2018-12-08,4798,1347227,389772655
Autos,2018-12-09,5193,1349647,381328984
Autos,2018-12-10,3937,1351950,391467594
Autos,2018-12-11,3463,1353816,381868253
Autos,2018-12-12,5354,1355936,381917256
Autos,2018-12-13,3207,1357866,382406642
Autos,2018-12-14,3252,1356401,382985561
Autos,2018-12-15,3370,1358429,382985561
Comedy,2018-12-03,6631,4965872,1278865484
Comedy,2018-12-04,7763,4972708,1271346898
Comedy,2018-12-05,12293,4980407,1279995509
Comedy,2018-12-06,9672,4988447,1275089308
Comedy,2018-12-07,7307,4996385,1281876756
Comedy,2018-12-08,9081,5005730,1276028275
Comedy,2018-12-09,9058,5014746,1283413651
Comedy,2018-12-10,7825,5022792,1278818072
Comedy,2018-12-11,7498,5030044,1284693056
Comedy,2018-12-12,7305,5037352,1281301802
Comedy,2018-12-13,20883,5044571,1285949576
Comedy,2018-12-14,7568,5042632,1287115266
Comedy,2018-12-15,7488,5049831,1287145779
Comedy,2018-12-16,64,2562739,407188287
Education,2018-12-03,11587,3161263,1488767605
Education,2018-12-04,8287,3168037,1480003564
Education,2018-12-05,12870,3124550,1465333957
Education,2018-12-06,14185,3131804,1459294254
Education,2018-12-07,9685,3139228,1467157210
Education,2018-12-08,13643,3146808,1459510692
Education,2018-12-09,16831,3154544,1468930074
Education,2018-12-10,12055,3162108,1464842273
Education,2018-12-11,12831,3168797,1470625818
Education,2018-12-12,12893,3175909,1469704346
Education,2018-12-13,12660,3182839,1472147825
Education,2018-12-14,8525,3179846,1473534776
Education,2018-12-15,11498,3186080,1473541201
Education,2018-12-16,39,2208076,540894223
Entertainment,2018-12-03,8320,2827725,1215276284
Entertainment,2018-12-04,10052,2840606,1207869985
Entertainment,2018-12-05,8679,2839306,1216225145
Entertainment,2018-12-06,7963,2851870,1211164352
Entertainment,2018-12-07,7987,2850438,1217021878
Entertainment,2018-12-08,10974,2856258,1211572098
Entertainment,2018-12-09,9022,2855287,1214846184
Entertainment,2018-12-10,7905,2868580,1214943763
Entertainment,2018-12-11,7697,2866460,1215600938
Entertainment,2018-12-12,7768,2871077,1214801938
Entertainment,2018-12-13,7899,2869039,1213255084
Entertainment,2018-12-14,9114,2864497,1213936757
Entertainment,2018-12-15,8445,2869763,1213948244
Entertainment,2018-12-16,88,1844820,583013207
Film,2018-12-03,7156,2170723,1058089362
Film,2018-12-04,8180,2159476,1040518702
Film,2018-12-05,6907,2163986,1051245147
Film,2018-12-06,13661,2168284,1044739393
Film,2018-12-07,8068,2172736,1052185820
Film,2018-12-08,10793,2162184,1040579317
Film,2018-12-09,7374,2166671,1045535874
Film,2018-12-10,6662,2171216,1043190813
Film,2018-12-11,7485,2175587,1046471553
Film,2018-12-12,7505,2180055,1045869174
Film,2018-12-13,6964,2184411,1047453629
Film,2018-12-14,7067,2167810,1041282079
Film,2018-12-15,6721,2172014,1041309982
Film,2018-12-16,61,1119237,595044242
Games,2018-12-03,9591,4748953,1808293770
Games,2018-12-04,6745,4754378,1805000645
Games,2018-12-05,6534,4760172,1808895354
Games,2018-12-06,6634,4765800,1807710276
Games,2018-12-07,6570,4771238,1809485745
Games,2018-12-08,8596,4778185,1810806439
Games,2018-12-09,8410,4734661,1790973192
Games,2018-12-10,6049,4740146,1794326760
Games,2018-12-11,7826,4744945,1791510806
Games,2018-12-12,6196,4749690,1790090017
Games,2018-12-13,5909,4754332,1792032832
Games,2018-12-14,6446,4751080,1792625083
Games,2018-12-15,7137,4756438,1792657435
Games,2018-12-16,99,2325072,741615026
Howto,2018-12-03,16583,5373480,1168390782
Howto,2018-12-04,16445,5389827,1151079076
Howto,2018-12-05,15188,5404953,1169954589
Howto,2018-12-06,13695,5419195,1156911428
Howto,2018-12-07,14831,5433620,1171332565
Howto,2018-12-08,15448,5448837,1162953187
Howto,2018-12-09,15289,5464130,1172967729
Howto,2018-12-10,14382,5477513,1168705413
Howto,2018-12-11,12911,5488961,1174583584
Howto,2018-12-12,12614,5501146,1172967073
Howto,2018-12-13,13756,5513062,1176198244
Howto,2018-12-14,13003,5508877,1177906480
Howto,2018-12-15,13889,5522261,1177906480
Howto,2018-12-16,98,767475,263655695
Music,2018-12-03,10271,4633079,2498361404
Music,2018-12-04,12907,4638404,2474696816
Music,2018-12-05,11007,4643646,2498738444
Music,2018-12-06,10675,4648821,2479487238
Music,2018-12-07,11509,4653974,2499143386
Music,2018-12-08,11828,4675133,2493236455
Music,2018-12-09,11222,4664335,2499571908
Music,2018-12-10,11609,4654501,2481513954
Music,2018-12-11,10810,4658660,2491774786
Music,2018-12-12,10586,4663373,2486203983
Music,2018-12-13,11556,4668253,2492132484
Music,2018-12-14,15258,4663856,2492389616
Music,2018-12-15,10182,4668373,2492401751
Music,2018-12-16,96,1567704,674666031
News,2018-12-03,7244,2950642,1258309370
News,2018-12-04,8037,2876148,1205542162
News,2018-12-05,10627,2881344,1225556422
News,2018-12-06,8211,2889862,1209854798
News,2018-12-07,10759,2901039,1225959524
News,2018-12-08,9834,2910436,1214568407
News,2018-12-09,9129,2918070,1226389650
News,2018-12-10,8459,2926470,1218561019
News,2018-12-11,13614,2939234,1226900198
News,2018-12-12,9915,2946585,1223872147
News,2018-12-13,9115,2953282,1227377082
News,2018-12-14,8301,2952060,1227785201
News,2018-12-15,6654,2956707,1227785201
News,2018-12-16,70,1353035,704391115
Nonprofit,2018-12-03,4640,4153697,713371061
Nonprofit,2018-12-04,5980,4160811,703590689
Nonprofit,2018-12-05,5640,4167713,713705339
Nonprofit,2018-12-06,5780,4174600,706169946
Nonprofit,2018-12-07,6300,4181369,714091435
Nonprofit,2018-12-08,5840,4188796,708746333
Nonprofit,2018-12-09,5640,4196422,714427942
Nonprofit,2018-12-10,4169,4203454,710949335
Nonprofit,2018-12-11,4472,4210065,714608551
Nonprofit,2018-12-12,4188,4216455,712962879
Nonprofit,2018-12-13,4361,4222798,714745371
Nonprofit,2018-12-14,4522,4221722,714935505
Nonprofit,2018-12-15,4067,4227816,715081614
Nonprofit,2018-12-16,38,1475568,173587895
People,2018-12-03,7016,2550587,897633174
People,2018-12-04,8079,2537193,881227329
People,2018-12-05,8011,2558752,893873020
People,2018-12-06,8513,2545613,879246995
People,2018-12-07,8611,2572982,894726711
People,2018-12-08,8950,2580151,888882397
People,2018-12-09,8235,2548222,882848926
People,2018-12-10,7587,2574222,885357955
People,2018-12-11,11089,2562006,883787737
People,2018-12-12,7362,2567945,882361994
People,2018-12-13,9911,2574035,884701813
People,2018-12-14,7904,2611943,898120374
People,2018-12-15,7544,2560137,879089150
People,2018-12-16,185,1997754,389775843
Shows,2018-12-03,12960,3049372,2217955719
Shows,2018-12-04,11600,3053764,2189179867
Shows,2018-12-05,11520,3058663,2218224608
Shows,2018-12-06,13080,3063957,2195078336
Shows,2018-12-07,11480,3069559,2218480786
Shows,2018-12-08,12900,3075394,2200903355
Shows,2018-12-09,13280,3080960,2218775168
Shows,2018-12-10,13600,3086515,2207350421
Shows,2018-12-11,12020,3091332,2219056286
Shows,2018-12-12,12700,3096509,2213200390
Shows,2018-12-13,14480,3101624,2219388887
Shows,2018-12-14,13040,3098061,2219735862
Shows,2018-12-15,11740,3103081,2219735862
Shows,2018-12-16,34,605644,491325095
Sports,2018-12-03,5795,1340490,572321624
Sports,2018-12-04,5261,1343334,565484995
Sports,2018-12-05,4294,1346219,573159931
Sports,2018-12-06,5814,1351964,567255439
Sports,2018-12-07,6538,1357622,574001861
Sports,2018-12-08,7223,1363216,569744784
Sports,2018-12-09,8192,1369314,574952626
Sports,2018-12-10,9742,1375738,573311999
Sports,2018-12-11,6189,1379235,575891565
Sports,2018-12-12,6743,1382135,575603932
Sports,2018-12-13,4641,1384892,576715931
Sports,2018-12-14,6424,1386410,577563820
Sports,2018-12-15,7572,1391967,577563820
Sports,2018-12-16,84,753162,234030255
Tech,2018-12-03,5879,2657405,571904767
Tech,2018-12-04,6536,2661731,552766521
Tech,2018-12-05,8284,2665996,572579942
Tech,2018-12-06,7863,2671369,556134415
Tech,2018-12-07,6000,2675314,573273535
Tech,2018-12-08,5615,2545417,530490964
Tech,2018-12-09,7320,2550680,545266388
Tech,2018-12-10,7252,2688915,561466485
Tech,2018-12-11,43938,2692294,574645862
Tech,2018-12-12,5000,2695677,573070703
Tech,2018-12-13,5939,2699336,575098654
Tech,2018-12-14,5563,2560929,546757679
Tech,2018-12-15,5676,2698644,575533576
Tech,2018-12-16,51,493103,231320241
Travel,2018-12-03,8083,2311537,684318496
Travel,2018-12-04,9116,2321260,682847353
Travel,2018-12-05,7650,2329577,685824842
Travel,2018-12-06,6283,2336775,684923723
Travel,2018-12-07,5635,2343343,687053472
Travel,2018-12-08,6711,2350701,686879957
Travel,2018-12-09,6771,2358149,688234838
Travel,2018-12-10,6265,2365759,688873691
Travel,2018-12-11,5889,2372752,689563703
Travel,2018-12-12,6284,2379936,690520208
Travel,2018-12-13,6445,2387084,691012849
Travel,2018-12-14,6249,2380942,692279485
Travel,2018-12-15,5791,2386804,692279485
